id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
3256,தொருசு,,torucu,,"ஊதாரியாக, பொறுப்பற்று சுற்றுதலைக் குறிக்கும்",,"ஆண்பால், பெண்பால் வேறுபாடற்றது | நான் ""கடைக்கு போயிட்டு வர்றேன்"" என்று சொன்னால், என் அம்மா நக்கலாக, ""செருப்புத் தொட்டுட்டு தொருசு கிளம்பிடுச்சு பாரு"" என்பார்கள்",,food_cooking,,od,
3257,தொரை,,torai,,பெரிய துரை இவரு,,"அதாவது ஒருவர் செய்யமுடியாத செயலைச் செய்ய எத்தனிக்கும் போது, விளிக்கப் பயன்படும் சொல்",,action_verbs,,od,
3258,தொல்லி,,tolli,,காய்களின் தோல்.,,சொரக்காத் தொல்லிய அரிஞ்செறி.,பெயர்ச்சொல்,,,pm,
3259,தொலவு,,tolavu,,பெருஞ்சண்டையின் விளைவாய்ப் பங்காளிக் குடும்பங்களிடையே தெய்வ சாட்சியாய் நிகழும் தொடர்பு அறுதல் (மீறுவது தெய்வ குற்றம். மீண்டும் இணைவது என்றால் தெய்வ சந்நதியில் நடக்கும்).,,அவுங்களுக்கும் எங்களுக்கும் தொலவு. அவுங்க ஊட்டுச் சோற நாந்திங்க மாட்டன்.,பெயர்ச்சொல்,home_household,,od | pm,
3260,தொலாக்கட்டை,,tolākkaṭṭai,,வீட்டுக் கூரையில் விட்டமல்லாத சிறுகட்டை.,,தொலாக்கட்டைக்கு நேராப் பாரு. எலி ஓடுது.,பெயர்ச்சொல்,,,pm,
3261,தொலாவு,,tolāvu,,தேடு. | தேடுதல்.,,எல்லாப் பக்கமு தொலாவிப் பாத்த கெடக்கில. | எவ்வளவு நேரமா உன்னயத் தொலாவறம்.,வினைச்சொல்,,,np | pm,
3262,தொலித்தல்,,tolittal,,உரித்தல்.,,கல்லக்கா தொலிக்க வாறியா.,வினைச்சொல்,,,pm,
3263,தொலை,,tolai,,ஏற்றம் உள்ள அனைத்துப் பகுதி. | ஏற்றம் உள்ள கிணற்றுப் பகுதி.,,தொலையில போயி நிக்காத உளுந்துருவ. | தண்ணி கொண்டார தொலைக்குப் போனா.,பெயர்ச்சொல்,,,np | pm,
3264,தொலைமேடு,,tolaimēṭu,,கிணற்றில் ஏற அமைந்துள்ள மேட்டுப் பகுதி.,,தொல மேட்டுல நின்னு பாத்தன்.,பெயர்ச்சொல்,,,pm,
3265,தொவசம்,,tovacam,,காண்க. தெவசம்.,,,,,,np,
3266,தொவட்டோனு,,tovaṭṭōṉu,,துவட்டுதல்.,,தல ஈரமாமிருக்கு தொவட்டோனு இல்லனா சளி புடிச்சுக்கும்.,,,,np,
3267,தொவயல்,,tovayal,,கல்லத் தொ வயல்,,,,farming_livestock,,od,
3268,தொவயலு,,tovayalu,,சட்னி.,,இட்டிலிக்கி தொவயலு செய்யோனு.,,,,np,
3269,தொவரு,,tovaru,,கோணப்புளியங்காயின் பிஞ்சில் முதிர்ந்த நிலை.,,கோணப் புளியங்கா தின்னு தொவரு தொண்டய புடிக்குது.,,,,np,
3270,தொவரெம்பருப்பு,,tovaremparuppu,,துவரம் பருப்பு.,,இன்னிக்கி தொவரம் பருப்பு கொழம்பு.,,,,np,
3271,தொவை,,tovai,,தாயவிளையாட்டில் காயை வெளியே நகர்த்தத் தொடங்குதல்.,,நீஇன்னம் தொவையவே இல்லயா.,பெயர்ச்சொல்,,,pm,
3272,தொவைக்கோனு,,tovaikkōṉu,,துணியை துவைத்தல்.,,துணி ஒருமூலெ சேந்துருச்சு தொவைக்கோனு.,,,,np,
3273,தொழுவாடு,,toḻuvāṭu,,வழக்கம்.,,அவனுக்குப் பொய்ப் பேசறதே தொழுவாடாப் போச்சு.,பெயர்ச்சொல்,,,pm,
3274,தொளக்குழி,,toḷakkuḻi,,கிணற்றினுள் ஏற்றச்சால் வந்து நீர் கொள்ளும் பகுதி. | கிணற்றினுள் ஏற்றச்சால் வந்து நீர் மொள்ளும் (மற்ற பகுதிகளை விட ஆழமாக்கப்பட்டிருக்கும்) குழிப்பகுதி.,,தொளக் குழியில முக்கி மண்ணெடு பாக்கலா. | தொளக்குழியில முழுகி மண்ணெடுக்கோனும்.,பெயர்ச்சொல்,,,np | pm,
3275,தொளஞ்சு,,toḷañcu,,புகுந்து,,பாம்பு ஊட்டுக் குள்ள தொளஞ்சருச்ச.,,,,np,
3276,தொளதொளன்னு,,toḷatoḷaṉṉu,,இறுக்கமாக இல்லாமல் தளர்வாக இருப்பதைக் கூறுவது.,,சட்டையெ தொளதொளன்னு தெச்சி வெச்சிட்டாங்கெ.,,,,np,
3277,தொளிக்கோனு,,toḷikkōṉu,,தெளிக்க வேண்டும்.,,வாசல தொளிக்கோனு.,,,,np,
3278,தொளைக்கட்டு,,toḷaikkaṭṭu,,,,,,home_household,,od,
3279,தொளைக்கல்,,toḷaikkal,,ஏற்றக்கால் செருகும்படி துளையிடப்பட்டு கிணற்றுக்குள் லேசாக நீட்டிக் கொண்டு இருக்கும் வகையில் பதிக்கப்பட்ட கல்.,,தொளக்கல்லு மேலு இருந்து குதிக்காதடா.,பெயர்ச்சொல்,,,pm,
3280,தொளையபேசறது,,toḷaiyapēcaṟatu,,வாய்க்குள்ளேயே முணுமுணுத்தல்.,,என்ன நொனை பேசற எதா.இருந்தாலும் சொல்லு.,,,,np,
3281,தொற,,toṟa,,திற,,,,action_verbs,,od,
3282,தொறந்துபோட்டுட்டு,,toṟantupōṭṭuṭṭu,,திறந்து வைத்து விட்டு.,,ஊட்டெ தொறந்து போட்டுட்டு எங்க போனாங்கனு தெரியில.,,,,np,
3283,தொறப்பு,,toṟappu,,பூட்டு | திறப்பு,,ஊட்டுக்கு தொறப்ப போடு. | தொறப்ப எங்க வெச்சனோ தெரில.,பெயர்ச்சொல்,home_household,,od | np | pm,
